actor_id,actor_login,following
85198,dehnert,"16725,28167,28302,74644,85200,123831,234227,236091,549258,5056099,6355865,8049952"
85204,athom,"1014,2621,3044,6843,8126,10111,11243,15178,41495,84004,94995,103148,117642,118264,175836,178316,183649,233907,239739,459505,520542,536325,540238,675230,704085,1175430,2180987,4585146,5211881,8454869,11139682,13896741,19993735,32884155"
85220,tuliom,"9698846,158582,7077164,5520937,12301795,5782626,3375505,2990132,400369,105609,60474785,7014335,3865045,5767767,14091680,1032932,417629,6583823,6718397,34114849,2729073,351616,13421176,3019228,689652,800498,36545,5084383,10537793,12972156,4762479,866780,699330,4921718,5686167,1231340,950160,2346907,1122885,462677,40112"
85237,alexaandru,"27544,456674,378683,64768360,1940365,296363,8023543,106511,5513065,50636,9593241,141,1411284,315229,6185660,114509,18831,972014,16095164,47046,4370220,10111,3,30733,869684,36901,4,9582,233907,378,2741,2,1,150330,110953,1024025,118015,9734877,1123322,173412,2621,7171,8528975,1359421,4466899,290976,6354026,14009,2237452,27786,104030,4324516,438920,41767,29400827,18395655,8158641,22060,5332,2722395,970862"
85237,alexaandru,"378683,64768360,1940365,296363,8023543,106511,5513065,50636,9593241,141,1411284,315229,6185660,114509,18831,972014,16095164,47046,4370220,10111,3,30733,869684,36901,4,9582,233907,378,2741,2,1,150330,110953,1024025,118015,9734877,1123322,173412,2621,7171,8528975,1359421,4466899,290976,6354026,14009,2237452,27786,104030,4324516,438920,41767,29400827,18395655,8158641,22060,5332,2722395,970862"
85237,alexaandru,"718045,27544,456674,378683,64768360,1940365,296363,8023543,106511,5513065,50636,9593241,141,1411284,315229,6185660,114509,18831,972014,16095164,47046,4370220,10111,3,30733,869684,36901,4,9582,233907,378,2741,2,1,150330,110953,1024025,118015,9734877,1123322,173412,2621,7171,8528975,1359421,4466899,290976,6354026,14009,2237452,27786,104030,4324516,438920,41767,29400827,18395655,8158641,22060,5332,2722395,970862"
85242,fluidsonic,"40296138,58392219"
85249,msmart,5060138
85253,aeg,"231908,522828,939877,1618542,2141477,2239258,3125122"
85254,ervasive,"499550,1658058,2216474"
85258,puredevotion,347115
85259,perguth,"80,829,7042,7579,9287,10247,10643,12147,12631,12923,14173,14610,19763,20723,21217,22603,24291,28153,34779,37560,38614,39759,40796,41798,43627,49415,52195,59379,59852,60294,64247,66107,68463,69736,72895,73579,76308,82317,86240,95347,99604,111202,118549,121766,124117,135331,136109,138401,138930,143954,156128,157609,158211,158352,166301,170530,170947,178266,182512,189038,238531,244907,253470,259374,266663,278463,291333,304186,308049,310854,313317,320862,325224,330324,332036,344777,348922,350682,356103,361435,376661,381356,398285,405182,406937,416524,453510,458714,464441,489362,507615,509047,509790,510293,511499,512439,537700,537775,600566,616767,633012,639760,683107,684965,716304,718038,719605,737638,738069,739895,767070,782513,788536,805273,837500,859149,883103,893663,911495,914122,925062,960708,985518,1041555,1043263,1058442,1091212,1243164,1247629,1251902,1254848,1264398,1270099,1304536,1315818,1365071,1374110,1383811,1393946,1398860,1424850,1427063,1434406,1462973,1470227,1508183,1523157,1547648,1583873,1653638,1771897,1777923,1822473,1823839,1942431,1991377,2073458,2096101,2157287,2229212,2379652,2467194,2503307,2535908,2643044,2655350,2657547,2768870,2981774,3048933,3056960,3170115,3187223,3387500,3438255,3504160,3630346,3635755,3736628,3791362,3862362,3932972,4026917,4130005,4180238,4229992,4244970,4615516,4670881,4730455,5272365,5310476,5365172,5589119,5732552,5808849,5897956,5995664,6069295,6407677,6709636,6757098,7057548,7099536,7347938,7499694,7539174,7584833,7763184,7890201,7986442,8107784,8136211,8141602,8228410,8368283,8398185,8913246,8926560,8968853,9052068,9091614,9443924,9675338,9929800,10194510,10777236,10884512,11064552,11370593,11586807,11637786,11647975,12466307,12534003,12581975,12599850,12941496,13065365,13088968,13837339,13890217,14070927,14114025,14123495,14136187,14898482,15141611,15221036,15245408,15308786,15969030,16141183,16262833,16529337,16987213,17070946,17160513,17568853,18053486,18542095,19890894,20277283,20376844,20801294,21360825,22824417,23109152,24420247,24781788,26738308,26761993,27915888,29238960,29249513,30288772,31916451,32832858,35296771,36507995,39682031,40243689,42409020,51509961,53584561,53785508,57254463,58461551,58478601"
85268,viruschidai,"367936,573856,646086,903687"
85279,aleagi,"925549,36967972"
85294,ivankorobkov,"207,1000,2621,7659,8215,8392,9230,9763,10652,11041,13026,14387,18891,29565,40298,41300,42793,58298,58962,60965,65444,65632,66577,70720,104030,111044,123544,131416,133019,136429,143737,148925,170812,173918,241138,265901,305718,309215,331234,350427,352559,439362,463856,521701,557033,755849,758033,760524,813492,860932,1032519,1032566,1095328,1201712,1273445,1538661,1712410,2980625,2980647,3194333,4001805,4324516,6851389,8528975,32096062"
85296,vpw,"37486,181520,2314699"
85315,bentruyman,"579,3536,4322,9287,13700,18397,27985,34054,38546,39191,39646,47405,51308,54051,55991,57302,60294,67283,71256,74513,76371,79066,81942,83221,96554,97088,110025,128755,137759,155599,162995,180760,181635,190178,216173,229244,262641,307962,313317,365209,384259,386720,418097,418835,604030,748947,963973,2328639,10639145,12552530"
85319,jonasdk,"19725,65756,66958,108130,108249,115347,163561,302970,394382,481677,499088,672421,995050,1193257,1480503,2382552,2619467,13674402,24934046,32450021"
85322,mattmassicotte,"353158,49915403,284570,8403025,978146,7053374,5117298,1207364,83694,1819208,14606,7575395,136891,867472,2945380,103670,1780010,5123191,730918,548577,2421992,1165044,661647,220240,986528,1069584,665326,260837,555046,2950214,3683673,15107,16890566,8521453,5878421,2246764,521520,716513,758033,533299,8561621,163410,225410,11062186,435699,34399637,4634735,107040,174850,478101,9113262,685609,364568,969364,826340,4943,124499,2188018,782837,45803,11267785,3312,2858322,2587018,869950,588907,80599,473553,5691219,111856,1721,666807,1672334,855335,685106,6272982,104150,1207450,653066,2256913,1119967,687054,1076145,1848683,798747,16900,626066,7204205,27232,894386,343134,446889,509779,2253428,463484,140380,94930,555485,6320,339996,623643,39227,3241469,844249"
85322,mattmassicotte,"49915403,284570,8403025,978146,7053374,5117298,1207364,83694,1819208,14606,7575395,136891,867472,2945380,103670,1780010,5123191,730918,548577,2421992,1165044,661647,220240,986528,1069584,665326,260837,555046,2950214,3683673,15107,16890566,8521453,5878421,2246764,521520,716513,758033,533299,8561621,163410,225410,11062186,435699,34399637,4634735,107040,174850,478101,9113262,685609,364568,969364,826340,4943,124499,2188018,782837,45803,11267785,3312,2858322,2587018,869950,588907,80599,473553,5691219,111856,1721,666807,1672334,855335,685106,6272982,104150,1207450,653066,2256913,1119967,687054,1076145,1848683,798747,16900,626066,7204205,27232,894386,343134,446889,509779,2253428,463484,140380,94930,555485,6320,339996,623643,39227,3241469,844249"
85349,apla,"44449,148955,423390,1264538,1692110,11761076"
85352,nezetic,"73409,735197"
85355,lookfirst,"1880,29597,51444,54405,82906,83895,106763,113138,114715,120171,143271,150458,153621,157128,162508,185847,227909,283153,283842,365089,489465,598730,649246,655869,740600,847613,1090235,1195159,1197375,1429531,1689095,1697115,2318345,2937857,3680494,4202918,5239830,5806092,6354666,6673982,7365482,7374093,7476318,8117549,8251593,8446970,11898859,14147070,15040197,16748022,18004719,20308948,22301423,32427832,34973778,40668199"
