,actor_id,org_id
5082,2807060,5800008
5084,2807060,761456
5085,2807060,130493
5087,2807060,7087133
5088,2807060,24270415
5090,2807060,29150664
5092,2807060,1357814
5094,2807060,22504804
5095,2807060,15174518
5096,2807060,14838238
5101,2807060,16674738
5102,2807060,4416806
5107,2807060,47264080
5108,2807060,29725493
5110,2807060,52937112
5113,2807060,42048915
5115,2807060,44914786
5219,2807060,59401885
5276,2807060,59452120
5468,2807117,7141300
5480,2807145,26906588
5481,2807174,14127308
5494,2807174,15240099
5504,2807186,16928085
5505,2807186,9919
5506,2807186,6764390
5508,2807186,33043890
5509,2807186,489566
5511,2807186,6748139
5513,2807186,473334
5514,2807186,4314092
5515,2807186,9958490
5516,2807186,7802525
5517,2807186,14037953
5518,2807186,819518
5519,2807186,52158677
5520,2807186,23534644
5521,2807186,17118990
5522,2807186,27726653
5523,2807186,46776614
5524,2807186,54452117
5525,2807186,38202270
5526,2807186,36015203
5529,2807186,21992475
5530,2807186,44713338
5531,2807186,42243165
5532,2807186,12783832
5533,2807186,9343010
5535,2807186,52143707
5536,2807186,11855343
5537,2807186,55299016
5540,2807186,42048915
5542,2807186,43830688
5543,2807240,5639632
5548,2807240,9217569
5572,2807332,48381040
5583,2807332,22586632
5585,2807332,18583292
5586,2807332,32872675
5614,2807381,22975941
5617,2807409,113164
5618,2807409,3371040
5638,2807426,5400834
5703,2807433,473596
5705,2807433,4267131
5713,2807469,1725583
5715,2807523,24830755
5754,2807575,8085
5768,2807589,5713248
5776,2807595,2165682
5777,2807595,1918868
5778,2807595,15859888
5779,2807595,11450856
5780,2807595,649583
5783,2807595,25236716
5790,2807595,10297834
5796,2807595,24189473
5798,2807595,53561475
5802,2807595,49016198
5804,2807595,49574073
5810,2807595,14796310
5815,2807595,20442435
5817,2807595,3299148
5818,2807595,55067986
5819,2807595,16943930
