,actor_id,issuecomment,openissue,openPR,reviewcomment,mergePR,label,participation_score,code_contribution_score
705,57347395,3.0,0.0,0.0,0.0,0.0,0,3.0,0.0
706,57388578,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
707,57423478,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
708,57516903,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
709,57586553,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
710,57614716,12.0,3.0,0.0,0.0,0.0,0,18.0,0.0
711,57820731,1.0,0.0,1.0,0.0,0.0,0,1.0,3.0
712,57925503,9.0,2.0,0.0,0.0,0.0,0,13.0,0.0
713,57934209,5.0,2.0,0.0,0.0,0.0,0,9.0,0.0
714,57969858,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
715,58030051,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
716,58201310,2.0,1.0,0.0,0.0,0.0,0,4.0,0.0
717,58379280,2.0,1.0,0.0,0.0,0.0,0,4.0,0.0
718,58476312,3.0,0.0,0.0,0.0,0.0,0,3.0,0.0
719,58622517,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
720,58645709,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
721,58867937,8.0,0.0,0.0,0.0,0.0,0,8.0,0.0
722,58896895,2.0,2.0,0.0,0.0,0.0,0,6.0,0.0
723,58903762,5.0,0.0,0.0,0.0,0.0,0,5.0,0.0
724,59130750,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
725,59186797,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
726,59908449,5.0,2.0,0.0,0.0,0.0,0,9.0,0.0
727,59949178,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
728,60031998,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
729,60082702,1.0,0.0,1.0,0.0,0.0,0,1.0,3.0
730,60126992,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
731,60222359,2.0,1.0,0.0,0.0,0.0,0,4.0,0.0
732,60281596,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
733,60506334,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
734,60516512,3.0,0.0,0.0,0.0,0.0,0,3.0,0.0
